127.0.0.1 - - [11/Apr/2020:13:01:26 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:01:41 +0530] "GET /rl.medicine/ HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:02:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:03:09 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:03:12 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:03:14 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:03:18 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24259
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:06:20 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:06:22 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 42235
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:25:52 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:25:53 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:25:57 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:25:59 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:26:03 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24259
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:29:13 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:29:15 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 2882
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:29:22 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:33:55 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:34:30 +0530] "POST /rl.medicine/login HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:34:33 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [11/Apr/2020:13:34:35 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
