127.0.0.1 - - [01/Apr/2020:17:11:41 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:11:43 +0530] "GET /rl.medicine/ HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:12:21 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:12:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:12:26 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:12:28 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:12:37 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 27170
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:15:18 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 27170
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:20:16 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 27170
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:23:43 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 23135
0:0:0:0:0:0:0:1 - - [01/Apr/2020:17:29:42 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 36353
0:0:0:0:0:0:0:1 - - [01/Apr/2020:23:11:36 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [01/Apr/2020:23:11:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Apr/2020:23:11:41 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [01/Apr/2020:23:11:43 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [01/Apr/2020:23:11:44 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 23135
