127.0.0.1 - - [14/Mar/2020:20:37:01 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:37:02 +0530] "GET /rl.medicine/ HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:37:11 +0530] "GET /rl.medicine/ HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:37:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:37:16 +0530] "GET /rl.medicine/app HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:37:27 +0530] "GET /rl.medicine/app HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:39:13 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:39:16 +0530] "POST /rl.medicine/login HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:39:18 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:39:28 +0530] "POST /rl.medicine/save HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:40:27 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:40:30 +0530] "POST /rl.medicine/login HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:40:32 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:40:42 +0530] "POST /rl.medicine/save HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:44:43 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:44:51 +0530] "POST /rl.medicine/save HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:47:49 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:48:06 +0530] "POST /rl.medicine/save HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:52:11 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:52:25 +0530] "POST /rl.medicine/save HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:52:38 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:52:40 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:52:42 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:52:53 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:52:55 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:53:07 +0530] "POST /rl.medicine/save HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:53:08 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:53:10 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:53:11 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:04 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:06 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:16 +0530] "POST /rl.medicine/save HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:28 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:35 +0530] "POST /rl.medicine/save HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:37 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:46 +0530] "POST /rl.medicine/save HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:47 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:49 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:55:50 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:56:12 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:56:13 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:56:14 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:56:16 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:56:54 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:56:55 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:57:04 +0530] "POST /rl.medicine/save HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:57:05 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:57:08 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:57:11 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:57:22 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:57:23 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:57:24 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:57:26 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:58:58 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [14/Mar/2020:20:59:00 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
