127.0.0.1 - - [18/Apr/2020:10:08:13 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [18/Apr/2020:10:08:16 +0530] "GET /rl.medicine/ HTTP/1.1" 200 95
192.168.0.100 - - [18/Apr/2020:10:22:18 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
192.168.0.100 - - [18/Apr/2020:10:22:19 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
192.168.0.100 - - [18/Apr/2020:10:22:22 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
192.168.0.100 - - [18/Apr/2020:10:22:28 +0530] "GET /rl.medicine/modify_medicine_detail HTTP/1.1" 200 133
192.168.0.100 - - [18/Apr/2020:10:22:30 +0530] "GET /rl.medicine/modify_medicine_detail HTTP/1.1" 200 133
192.168.0.100 - - [18/Apr/2020:10:22:33 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
192.168.0.100 - - [18/Apr/2020:10:22:38 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47109
192.168.0.100 - - [18/Apr/2020:15:27:15 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47109
192.168.0.100 - - [18/Apr/2020:15:27:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
192.168.0.100 - - [18/Apr/2020:15:27:26 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 3148
192.168.0.100 - - [18/Apr/2020:15:27:29 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 10062
192.168.0.100 - - [18/Apr/2020:15:32:04 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47109
192.168.0.100 - - [18/Apr/2020:15:34:52 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24374
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:20:55 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:20:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:21:01 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:21:03 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:21:23 +0530] "POST /rl.medicine/save HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:21:39 +0530] "POST /rl.medicine/save HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:21:43 +0530] "GET /rl.medicine/home HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:21:44 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [18/Apr/2020:16:21:47 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24370
