127.0.0.1 - - [09/Apr/2020:16:16:19 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [09/Apr/2020:16:16:21 +0530] "GET /rl.medicine/ HTTP/1.1" 200 95
192.168.0.100 - - [09/Apr/2020:16:17:05 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
192.168.0.100 - - [09/Apr/2020:16:17:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
192.168.0.100 - - [09/Apr/2020:16:17:09 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
192.168.0.100 - - [09/Apr/2020:16:17:13 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
192.168.0.100 - - [09/Apr/2020:16:17:19 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 1032
192.168.0.100 - - [09/Apr/2020:16:17:20 +0530] "GET /rl.medicine/home HTTP/1.1" 200 424
192.168.0.100 - - [09/Apr/2020:16:17:27 +0530] "GET /rl.medicine/modify_medicine_detail HTTP/1.1" 200 133
192.168.0.100 - - [09/Apr/2020:16:17:31 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
192.168.0.100 - - [09/Apr/2020:16:17:33 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
192.168.0.100 - - [09/Apr/2020:16:17:39 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 42234
192.168.0.100 - - [09/Apr/2020:16:18:31 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24260
192.168.0.100 - - [09/Apr/2020:16:50:04 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24260
192.168.0.100 - - [09/Apr/2020:20:17:57 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
192.168.0.100 - - [09/Apr/2020:20:18:00 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24260
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:18 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:19 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:23 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:24 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:26 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:27 +0530] "GET /rl.medicine/home HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:31 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:33 +0530] "GET /rl.medicine/home HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:34 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:36 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 2882
0:0:0:0:0:0:0:1 - - [09/Apr/2020:21:53:48 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4257
192.168.0.100 - - [09/Apr/2020:22:25:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
192.168.0.100 - - [09/Apr/2020:22:25:48 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 2882
192.168.0.100 - - [09/Apr/2020:22:25:58 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4257
192.168.0.100 - - [09/Apr/2020:22:53:48 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4642
192.168.0.100 - - [09/Apr/2020:22:58:45 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 4642
