127.0.0.1 - - [23/Mar/2020:11:39:47 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:39:48 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:39:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:39:50 +0530] "GET /rl.medicine/ HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:40:07 +0530] "GET /rl.medicine/ HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:40:09 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:40:12 +0530] "POST /rl.medicine/login HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:40:14 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:40:16 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:40:18 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:40:21 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:40:22 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:41:46 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:41:49 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:41:50 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:41:52 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:41:54 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:42:03 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:42:05 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [23/Mar/2020:11:42:24 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1949
